Asset,DateTime,Price_Close,03_01,03_02,03_03,03_04,03_05,03_06,03_07,03_08,03_09,03_10,03_11,03_12,01_01,01_02,01_03,01_04,01_05,01_06,01_07,01_08,01_09,01_10,01_11,01_12
XAU/USD,1/1/2014 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XAU/USD,1/2/2014 17:00,1224.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XAU/USD,1/3/2014 17:00,1237.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XAU/USD,1/6/2014 17:00,1238.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000899061,0,0,0
XAU/USD,1/7/2014 17:00,1232.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005002054,-0.006568898,0,0
XAU/USD,1/8/2014 17:00,1226.25,0,0,0,0,0,0,0,0,0.00052139,0,0,0,0,0,0,0,0,0,0,0,0.002316797,0.00231833,0.000428954,0
XAU/USD,1/9/2014 17:00,1228.3,0,0,0,0,0,0,0,0,0.000391529,0,0,0,0,0,0,0,0,0,0,0,0.000393292,-0.000759331,-0.000756497,-0.001087012
XAU/USD,1/10/2014 17:00,1247.15,0,0,0,0,0,0,0,0,0.006962271,0.005050443,0,0,0.000683036,0.000683036,0,0,0,0,0,0,0.006990947,0.005528632,-0.004349005,-0.005629601
XAU/USD,1/13/2014 17:00,1253.51,0,0,0,0,0,0,0,0,0.00233959,0.002333472,0,0,0.002321361,0.002321361,0,0,0,0,0,0,0.002349187,0.002350146,0.002337096,0.002338632
XAU/USD,1/14/2014 17:00,1245.5,0,0,0,0,0,0,0,0,-0.003116324,-0.002927946,-0.00230217,0,-0.002912806,-0.002912806,-0.002450603,-0.002450603,0,0,0,0,-0.003307025,-0.00294879,-0.002932476,-0.002934397
XAU/USD,1/15/2014 17:00,1242.27,0,0,0,0,0,0,0,0,-0.001391974,-0.001537285,-0.002566383,0,-0.001175698,-0.001175698,-0.001172124,-0.001172124,0,0,0,0,0.001179122,-0.001897729,-0.004004177,-0.001184421
