trade_id,buy/sell,notional,executed_price,order_datetime,instrument,alpha
107414,1,"150,000",1.35724,1/7/2018 19:07:49.749,GBP/USD,SOM
107427,1,"310,000",1.35725,1/7/2018 19:15:23.1523,GBP/USD,SOM
107638,-1,"310,000",1.35453,1/8/2018 7:38:48.3848,GBP/USD,SOM
107649,-1,"310,000",1.35371,1/8/2018 8:10:55.1055,GBP/USD,SOM
107654,-1,"320,000",1.35394,1/8/2018 8:19:10.1910,GBP/USD,SOM
107664,-1,"200,000",1.35405,1/8/2018 8:23:16.2316,GBP/USD,SOM
107670,-1,"490,000",1.35423,1/8/2018 8:34:40.3440,GBP/USD,SOM
107726,1,"200,000",1.35716,1/8/2018 11:25:13.2513,GBP/USD,SOM
107733,1,"310,000",1.35693,1/8/2018 11:42:08.428,GBP/USD,SOM
107737,1,"310,000",1.35676,1/8/2018 12:15:34.1534,GBP/USD,SOM
107738,1,"310,000",1.35677,1/8/2018 12:15:35.1535,GBP/USD,SOM
107739,1,"320,000",1.35645,1/8/2018 12:20:20.2020,GBP/USD,SOM
107742,1,"200,000",1.3561,1/8/2018 12:26:08.268,GBP/USD,SOM
107784,1,"240,000",1.35637,1/8/2018 15:41:56.4156,GBP/USD,MAR
107785,1,"240,000",1.35636,1/8/2018 15:41:57.4157,GBP/USD,MAR
107831,-1,"490,000",1.35662,1/8/2018 20:03:48.348,GBP/USD,SOM
107835,-1,"310,000",1.35654,1/8/2018 20:06:50.650,GBP/USD,SOM
107844,-1,"180,000",1.35748,1/8/2018 21:02:49.249,GBP/USD,DIS
107846,-1,"310,000",1.35744,1/8/2018 21:07:40.740,GBP/USD,SOM
107847,-1,"320,000",1.35745,1/8/2018 21:18:26.1826,GBP/USD,SOM
107848,-1,"200,000",1.35751,1/8/2018 21:21:09.219,GBP/USD,SOM
107849,-1,"200,000",1.35751,1/8/2018 21:21:10.2110,GBP/USD,SOM
107851,-1,"490,000",1.35763,1/8/2018 21:33:50.3350,GBP/USD,SOM
107853,-1,"310,000",1.35744,1/8/2018 21:37:19.3719,GBP/USD,SOM
107856,-1,"360,000",1.35803,1/8/2018 22:08:35.835,GBP/USD,SOM
107860,-1,"360,000",1.358,1/8/2018 22:08:36.836,GBP/USD,SOM
107877,-1,"300,000",1.35763,1/8/2018 23:04:50.450,GBP/USD,SOM
107880,-1,"360,000",1.35762,1/8/2018 23:09:33.933,GBP/USD,SOM
107894,-1,"360,000",1.35741,1/9/2018 1:12:38.1238,GBP/USD,SOM
107941,1,"490,000",1.35518,1/9/2018 2:35:31.3531,GBP/USD,SOM
108003,-1,"310,000",1.35272,1/9/2018 5:17:17.1717,GBP/USD,SOM
108012,-1,"490,000",1.35312,1/9/2018 5:36:31.3631,GBP/USD,SOM
108014,-1,"310,000",1.35311,1/9/2018 5:44:26.4426,GBP/USD,SOM
108017,-1,"310,000",1.35296,1/9/2018 6:18:33.1833,GBP/USD,SOM
108019,-1,"320,000",1.35359,1/9/2018 6:23:01.231,GBP/USD,SOM
108022,-1,"200,000",1.35358,1/9/2018 6:29:52.2952,GBP/USD,SOM
108042,-1,"200,000",1.35146,1/9/2018 8:35:08.358,GBP/USD,SOM
108043,-1,"200,000",1.35146,1/9/2018 8:35:09.359,GBP/USD,SOM
108049,-1,"180,000",1.35167,1/9/2018 8:51:25.5125,GBP/USD,SOM
108050,-1,"180,000",1.35167,1/9/2018 8:51:26.5126,GBP/USD,SOM
108060,-1,"140,000",1.35217,1/9/2018 9:22:28.2228,GBP/USD,SOM
108061,-1,"180,000",1.35212,1/9/2018 9:22:29.2229,GBP/USD,SOM
